iter	Passed	Remaining
171	4841	23307
172	4868	23272
173	4895	23239
174	4923	23212
175	4950	23175
176	4976	23138
177	5004	23109
178	5033	23084
179	5063	23065
180	5093	23045
181	5121	23020
182	5149	22989
183	5177	22961
184	5206	22937
185	5234	22906
186	5260	22872
187	5287	22839
188	5314	22804
189	5342	22774
190	5369	22743
191	5395	22707
192	5421	22667
193	5447	22631
194	5474	22599
195	5502	22570
196	5528	22536
197	5556	22508
198	5583	22472
199	5609	22439
200	5637	22410
201	5664	22377
202	5690	22339
203	5716	22306
204	5742	22270
205	5770	22241
206	5797	22209
207	5825	22183
208	5851	22147
209	5880	22121
210	5908	22093
211	5936	22065
212	5963	22034
213	5991	22007
214	6019	21976
215	6046	21944
216	6074	21918
217	6099	21880
218	6126	21846
219	6164	21855
220	6192	21829
221	6219	21797
222	6246	21764
223	6273	21733
224	6300	21701
225	6332	21686
226	6359	21656
227	6388	21630
228	6415	21599
229	6442	21568
230	6470	21538
231	6497	21510
232	6521	21468
233	6549	21440
234	6576	21408
235	6601	21369
236	6627	21335
237	6652	21300
238	6680	21272
239	6708	21244
240	6733	21206
241	6760	21176
242	6787	21143
243	6818	21125
244	6842	21087
245	6870	21057
246	6895	21020
247	6923	20995
248	6952	20970
249	6978	20936
250	7003	20898
251	7028	20863
252	7053	20826
253	7078	20790
254	7105	20759
255	7134	20734
256	7163	20710
257	7192	20684
258	7220	20658
259	7247	20627
260	7273	20595
261	7302	20568
262	7328	20536
263	7355	20506
264	7381	20472
265	7410	20447
266	7437	20418
267	7463	20386
268	7491	20357
269	7518	20328
270	7547	20302
271	7574	20272
272	7603	20247
273	7631	20219
274	7659	20194
275	7687	20165
276	7714	20135
277	7741	20106
278	7767	20073
279	7795	20045
280	7821	20012
281	7846	19977
282	7872	19946
283	7902	19922
284	7931	19897
285	7958	19867
286	7984	19835
287	8009	19801
288	8036	19770
289	8063	19740
290	8089	19709
291	8117	19681
292	8146	19656
293	8171	19621
294	8199	19594
295	8225	19563
296	8252	19533
297	8279	19503
298	8306	19474
299	8332	19443
300	8359	19413
301	8387	19384
302	8415	19358
303	8440	19324
304	8481	19327
305	8508	19297
306	8534	19264
307	8564	19241
308	8593	19216
309	8620	19188
310	8648	19159
311	8674	19128
312	8701	19098
313	8725	19063
314	8752	19033
315	8779	19003
316	8806	18973
317	8833	18944
318	8859	18913
319	8886	18883
320	8925	18879
321	8955	18856
322	8981	18825
323	9009	18798
324	9036	18767
325	9064	18740
326	9092	18713
327	9122	18689
328	9149	18660
329	9177	18633
330	9204	18604
331	9232	18576
332	9261	18550
333	9288	18521
334	9315	18491
335	9343	18464
336	9368	18430
337	9391	18394
338	9418	18364
339	9444	18334
340	9470	18303
341	9497	18272
342	9523	18242
343	9548	18207
344	9571	18172
345	9598	18142
346	9623	18110
347	9649	18079
348	9688	18071
349	9715	18043
350	9743	18015
351	9770	17987
352	9798	17960
353	9824	17929
354	9851	17899
355	9887	17886
356	9916	17860
357	9944	17833
358	9971	17804
359	9997	17773
360	10025	17746
361	10052	17717
362	10079	17687
363	10107	17659
364	10133	17628
365	10161	17601
366	10188	17573
367	10215	17544
368	10241	17513
369	10281	17507
370	10307	17476
371	10333	17444
372	10364	17423
373	10393	17396
374	10420	17367
375	10448	17340
376	10475	17311
377	10501	17280
378	10528	17251
379	10557	17224
380	10583	17194
381	10611	17167
382	10637	17136
383	10664	17108
384	10692	17079
385	10719	17050
386	10748	17025
387	10776	16997
388	10802	16967
389	10829	16939
390	10856	16909
391	10882	16878
392	10910	16851
393	10936	16820
394	10963	16791
395	10989	16762
396	11015	16731
397	11040	16700
398	11066	16669
399	11093	16640
400	11121	16613
401	11147	16583
402	11174	16554
403	11201	16524
404	11228	16496
405	11256	16468
406	11282	16438
407	11309	16409
408	11337	16383
409	11367	16358
410	11396	16332
411	11426	16307
412	11455	16281
413	11481	16251
414	11510	16225
415	11537	16197
416	11565	16170
417	11593	16142
418	11618	16110
419	11645	16082
420	11671	16051
421	11696	16020
422	11723	15992
423	11749	15962
424	11774	15930
425	11801	15901
426	11826	15870
427	11853	15841
428	11879	15812
429	11910	15787
430	11937	15759
431	11975	15745
432	12001	15715
433	12027	15685
434	12053	15655
435	12090	15640
436	12120	15614
437	12147	15586
438	12174	15558
439	12201	15528
440	12226	15498
441	12253	15469
442	12280	15440
443	12304	15407
444	12330	15378
445	12358	15350
446	12384	15321
447	12411	15293
448	12437	15263
449	12467	15238
450	12493	15208
451	12522	15182
452	12550	15154
453	12587	15138
454	12616	15111
455	12642	15081
456	12669	15053
457	12696	15025
458	12733	15008
459	12760	14979
460	12787	14951
461	12813	14921
462	12842	14894
463	12868	14865
464	12896	14838
465	12924	14810
466	12953	14783
467	12978	14752
468	13003	14722
469	13029	14692
470	13053	14661
471	13079	14631
472	13107	14603
473	13135	14576
474	13163	14549
475	13192	14523
476	13219	14494
477	13246	14466
478	13271	14435
479	13299	14408
480	13328	14381
481	13354	14352
482	13384	14326
483	13410	14297
484	13438	14269
485	13467	14243
486	13495	14216
487	13524	14189
488	13554	14164
489	13582	14136
490	13611	14110
491	13636	14080
492	13663	14051
493	13692	14024
494	13719	13996
495	13745	13967
496	13772	13938
497	13797	13908
498	13821	13876
499	13846	13846
500	13875	13820
501	13911	13800
502	13939	13773
503	13964	13743
504	13992	13715
505	14018	13685
506	14044	13656
507	14071	13628
508	14099	13601
509	14127	13573
510	14154	13545
511	14183	13518
512	14209	13489
513	14235	13459
514	14260	13429
515	14287	13401
516	14313	13372
517	14340	13343
518	14370	13318
519	14398	13291
520	14425	13262
521	14452	13234
522	14478	13204
523	14502	13174
524	14530	13146
525	14559	13120
526	14586	13091
527	14614	13064
528	14639	13034
529	14664	13004
530	14690	12975
531	14715	12945
532	14743	12918
533	14771	12890
534	14798	12862
535	14823	12832
536	14850	12804
537	14879	12777
538	14905	12748
539	14933	12721
540	14961	12693
541	14994	12670
542	15021	12642
543	15050	12616
544	15087	12595
545	15116	12569
546	15144	12541
547	15171	12513
548	15199	12486
549	15231	12461
550	15263	12438
551	15291	12410
552	15330	12391
553	15357	12363
554	15385	12336
555	15414	12309
556	15443	12282
557	15470	12254
558	15498	12226
559	15526	12199
560	15553	12171
561	15584	12145
562	15616	12121
563	15652	12100
564	15692	12081
565	15720	12054
566	15747	12026
567	15774	11997
568	15800	11968
569	15826	11938
570	15854	11911
571	15882	11883
572	15912	11857
573	15940	11830
574	15967	11801
575	15995	11774
576	16037	11757
577	16064	11728
578	16092	11701
579	16119	11672
580	16147	11645
581	16174	11617
582	16202	11589
583	16229	11561
584	16258	11533
585	16284	11504
586	16308	11474
587	16333	11444
588	16360	11416
589	16387	11387
590	16414	11359
591	16441	11331
592	16475	11308
593	16503	11279
594	16529	11251
595	16558	11223
596	16584	11195
597	16610	11166
598	16637	11138
599	16665	11110
600	16693	11082
601	16723	11056
602	16751	11028
603	16778	11000
604	16805	10972
605	16829	10942
606	16856	10913
607	16887	10887
608	16917	10861
609	16944	10833
610	16972	10805
611	17000	10777
612	17024	10748
613	17051	10719
614	17078	10691
615	17107	10664
616	17134	10636
617	17162	10608
618	17190	10581
619	17217	10552
620	17248	10526
621	17276	10499
622	17306	10472
623	17330	10442
624	17355	10413
625	17381	10384
626	17406	10355
627	17432	10326
628	17460	10298
629	17487	10270
630	17514	10242
631	17542	10214
632	17570	10186
633	17597	10158
634	17626	10131
635	17652	10102
636	17678	10074
637	17707	10047
638	17736	10020
639	17779	10000
640	17807	9973
641	17835	9945
642	17860	9916
643	17889	9889
644	17914	9859
645	17938	9829
646	17964	9801
647	17989	9772
648	18016	9743
649	18043	9715
650	18071	9688
651	18097	9659
652	18124	9631
653	18151	9603
654	18180	9576
655	18206	9547
656	18232	9518
657	18257	9489
658	18284	9461
659	18311	9433
660	18338	9405
661	18363	9375
662	18392	9348
663	18419	9320
664	18446	9292
665	18472	9264
666	18500	9236
667	18528	9208
668	18553	9179
669	18579	9151
670	18605	9122
671	18631	9094
672	18659	9066
673	18684	9037
674	18708	9007
675	18734	8979
676	18762	8951
677	18790	8923
678	18818	8896
679	18846	8868
680	18876	8842
681	18904	8814
682	18932	8787
683	18962	8760
684	18989	8732
685	19017	8704
686	19043	8676
687	19072	8649
688	19100	8621
689	19127	8593
690	19154	8565
691	19182	8538
692	19208	8509
693	19233	8480
694	19259	8451
695	19288	8424
696	19315	8396
697	19343	8369
698	19384	8347
699	19410	8318
700	19438	8291
701	19463	8262
702	19491	8234
703	19516	8205
704	19542	8177
705	19567	8148
706	19592	8119
707	19619	8091
708	19656	8067
709	19682	8039
710	19707	8010
711	19732	7981
712	19759	7953
713	19786	7925
714	19815	7898
715	19844	7871
716	19881	7847
717	19910	7820
718	19937	7791
719	19965	7764
720	19992	7736
721	20018	7708
722	20044	7679
723	20070	7651
724	20098	7623
725	20125	7595
726	20153	7567
727	20180	7540
728	20207	7512
729	20234	7483
730	20260	7455
731	20286	7427
732	20311	7398
733	20338	7370
734	20364	7342
735	20391	7314
736	20426	7289
737	20450	7260
738	20478	7232
739	20504	7204
740	20531	7176
741	20570	7152
742	20598	7124
743	20636	7100
744	20663	7072
745	20689	7044
746	20714	7015
747	20739	6987
748	20765	6958
749	20791	6930
750	20818	6902
751	20844	6874
752	20871	6846
753	20896	6817
754	20923	6789
755	20950	6761
756	20977	6733
757	21002	6705
758	21028	6677
759	21055	6648
760	21084	6621
761	21111	6593
762	21137	6565
763	21164	6537
764	21193	6510
765	21221	6482
766	21249	6455
767	21276	6427
768	21303	6399
769	21330	6371
770	21357	6343
771	21383	6315
772	21410	6287
773	21439	6260
774	21466	6232
775	21494	6204
776	21521	6176
777	21548	6148
778	21573	6120
779	21600	6092
780	21627	6064
781	21653	6036
782	21680	6008
783	21708	5981
784	21737	5953
785	21766	5926
786	21792	5898
787	21821	5870
788	21858	5845
789	21888	5818
790	21918	5791
791	21946	5763
792	21984	5738
793	22006	5709
794	22032	5681
795	22058	5653
796	22087	5625
797	22111	5597
798	22138	5569
799	22163	5540
800	22189	5512
801	22215	5484
802	22242	5456
803	22267	5428
804	22294	5400
805	22322	5372
806	22350	5345
807	22378	5317
808	22404	5289
809	22434	5262
810	22461	5234
811	22487	5206
812	22512	5178
813	22540	5150
814	22567	5122
815	22594	5094
816	22618	5066
817	22645	5038
818	22671	5010
819	22698	4982
820	22727	4955
821	22755	4927
822	22783	4899
823	22821	4874
824	22846	4846
825	22876	4819
826	22902	4791
827	22929	4763
828	22955	4735
829	22981	4707
830	23009	4679
831	23035	4651
832	23062	4623
833	23089	4595
834	23116	4567
835	23141	4539
836	23183	4514
837	23211	4487
838	23237	4459
839	23264	4431
840	23291	4403
841	23317	4375
842	23344	4347
843	23370	4319
844	23397	4291
845	23424	4264
846	23451	4236
847	23478	4208
848	23505	4180
849	23531	4152
850	23557	4124
851	23583	4096
852	23610	4068
853	23636	4040
854	23661	4012
855	23687	3984
856	23713	3956
857	23739	3928
858	23766	3901
859	23793	3873
860	23821	3845
861	23849	3818
862	23877	3790
863	23905	3762
864	23941	3736
865	23967	3708
866	23993	3680
867	24022	3653
868	24051	3625
869	24080	3598
870	24109	3570
871	24139	3543
872	24166	3515
873	24195	3488
874	24223	3460
875	24248	3432
876	24274	3404
877	24302	3376
878	24328	3349
879	24356	3321
880	24385	3293
881	24414	3266
882	24451	3239
883	24478	3212
884	24503	3184
885	24529	3156
886	24565	3129
887	24592	3101
888	24619	3073
889	24647	3046
890	24672	3018
891	24698	2990
892	24726	2962
893	24751	2934
894	24777	2906
895	24805	2879
896	24834	2851
897	24862	2823
898	24889	2796
899	24915	2768
900	24941	2740
901	24968	2712
902	24994	2684
903	25018	2656
904	25045	2629
905	25072	2601
906	25097	2573
907	25122	2545
908	25149	2517
909	25179	2490
910	25206	2462
911	25233	2434
912	25263	2407
913	25290	2379
914	25318	2351
915	25344	2324
916	25372	2296
917	25398	2268
918	25424	2240
919	25448	2212
920	25478	2185
921	25504	2157
922	25533	2130
923	25560	2102
924	25588	2074
925	25616	2047
926	25644	2019
927	25670	1991
928	25711	1965
929	25737	1937
930	25764	1909
931	25793	1881
932	25821	1854
933	25849	1826
934	25876	1798
935	25903	1771
936	25931	1743
937	25959	1715
938	25986	1688
939	26012	1660
940	26040	1632
941	26066	1604
942	26093	1577
943	26118	1549
944	26144	1521
945	26173	1494
946	26203	1466
947	26232	1438
948	26259	1411
949	26284	1383
950	26308	1355
951	26333	1327
952	26358	1299
953	26387	1272
954	26414	1244
955	26441	1216
956	26467	1189
957	26493	1161
958	26520	1133
959	26560	1106
960	26596	1079
961	26623	1051
962	26649	1023
963	26691	996
964	26717	969
965	26743	941
966	26770	913
967	26798	885
968	26824	858
969	26851	830
970	26893	803
971	26921	775
972	26947	747
973	26974	720
974	27001	692
975	27027	664
976	27051	636
977	27078	609
978	27104	581
979	27132	553
980	27159	526
981	27185	498
982	27213	470
983	27242	442
984	27269	415
985	27298	387
986	27325	359
987	27353	332
988	27380	304
989	27404	276
990	27428	249
991	27453	221
992	27482	193
993	27509	166
994	27536	138
995	27563	110
996	27592	83
997	27620	55
998	27647	27
999	27672	0
