iter	MAE
213	830292.7119
214	830031.0881
215	828298.0444
216	827072.2203
217	826733.2776
218	825758.1986
219	824465.2326
220	823518.126
221	820700.0462
222	819098.4895
223	818660.6209
224	817780.5614
225	817311.5384
226	816179.981
227	815580.0562
228	813142.2463
229	812512.9618
230	811272.6342
231	810840.416
232	809661.2947
233	809344.5859
234	808645.3396
235	808138.5681
236	807273.361
237	804755.8048
238	803645.2313
239	803206.8374
240	802809.7205
241	801729.0654
242	801106.3489
243	800925.8277
244	800481.7437
245	799354.6911
246	799035.4807
247	798197.5689
248	796465.823
249	795894.2055
250	795036.6431
251	793965.5048
252	793503.8805
253	793099.9633
254	792715.8898
255	791985.8479
256	791316.7214
257	790645.4957
258	789815.2685
259	788270.6152
260	787691.9674
261	787021.3601
262	785854.6816
263	785268.9579
264	784425.2873
265	783615.2883
266	782824.88
267	782642.4513
268	782113.2527
269	781806.6347
270	781380.8587
271	780427.2284
272	779266.0636
273	778388.2702
274	777671.7022
275	776711.2833
276	775944.1003
277	775000.6334
278	774088.6933
279	773622.978
280	772952.0741
281	772524.0262
282	772002.6173
283	771335.581
284	770607.9007
285	770187.2624
286	769645.6965
287	768480.6576
288	767974.5597
289	767806.3741
290	766458.086
291	766047.7606
292	765545.3601
293	764808.585
294	763711.1766
295	763053.7543
296	761759.1802
297	761315.2366
298	760479.0188
299	760344.3956
300	759860.5573
301	759513.0506
302	758768.8253
303	758427.3313
304	757850.8982
305	757365.4481
306	756375.2707
307	754266.5937
308	753743.4981
309	753200.6797
310	752294.7894
311	751732.9907
312	749990.5479
313	749493.1026
314	747834.3182
315	746236.5354
316	744786.4318
317	744256.8596
318	743990.7879
319	742687.5304
320	742203.2439
321	740386.4399
322	739688.3346
323	739328.2801
324	738264.9028
325	738047.0526
326	736764.2864
327	735456.5015
328	734941.0259
329	734601.9167
330	733848.6989
331	733193.7209
332	732529.8569
333	732037.6387
334	731879.9397
335	731357.8399
336	731023.9608
337	730172.0075
338	729317.7776
339	728825.3785
340	728225.5566
341	727332.3969
342	726846.4292
343	726715.2401
344	726539.3773
345	725677.3522
346	725351.189
347	725182.1193
348	723815.3138
349	722609.885
350	721683.1717
351	721046.801
352	720434.0817
353	719786.5377
354	718817.812
355	718136.3724
356	717632.9231
357	717294.77
358	716541.207
359	716255.8909
360	715650.5955
361	714342.1338
362	713610.8459
363	713285.4776
364	712471.2371
365	711909.7434
366	711406.8358
367	710555.5182
368	709990.7959
369	708421.6227
370	707576.6988
371	707200.3415
372	706558.4135
373	706437.254
374	705771.4217
375	705079.1953
376	703993.7866
377	703805.7035
378	703116.2614
379	702689.4887
380	701559.4202
381	700794.0302
382	700492.8789
383	700157.5796
384	699666.139
385	699350.8698
386	699011.8209
387	698030.0374
388	697638.6152
389	696589.8416
390	696251.6106
391	695784.8671
392	695345.4969
393	694565.4023
394	693583.8744
395	692566.2401
396	691893.6775
397	691612.964
398	690540.9817
399	690225.4126
400	689377.0179
401	688526.951
402	688161.4917
403	687525.3142
404	687333.8474
405	687000.4559
406	686477.4221
407	686282.7196
408	685863.0695
409	685548.6749
410	685301.4495
411	684396.1415
412	684325.0869
413	683931.1355
414	683521.0082
415	683188.9843
416	682618.2048
417	682134.8472
418	681984.1771
419	681584.2525
420	681282.7736
421	680756.4585
422	679754.7669
423	679543.7602
424	679453.4549
425	678549.7982
426	678238.6692
427	677425.774
428	676631.4931
429	675845.0901
430	675592.5123
431	674931.7102
432	674717.1734
433	674416.9744
434	673459.715
435	673006.3254
436	672458.078
437	671534.6693
438	671329.981
439	670475.8694
440	669941.2839
441	669646.4321
442	669242.4317
443	668951.5872
444	668406.4548
445	667392.0599
446	666963.3552
447	665810.3612
448	665176.4193
449	664560.617
450	664156.8129
451	663835.9148
452	663443.7185
453	662943.7715
454	662511.6709
455	662363.5395
456	661826.213
457	661593.904
458	660818.5125
459	660355.7072
460	659761.2234
461	659601.26
462	659203.1166
463	658770.0693
464	657849.8685
465	657610.1332
466	657188.225
467	656528.4032
468	655956.3635
469	655639.0728
470	655243.3654
471	655113.233
472	654557.4055
473	654346.7965
474	653820.5494
475	653598.1259
476	653185.0251
477	652856.4164
478	652581.2959
479	651530.7277
480	651273.8134
481	651070.78
482	650510.0818
483	650046.5682
484	649888.4327
485	649460.5959
486	648524.8682
487	647557.8342
488	647241.3409
489	646985.4136
490	646725.3151
491	646265.2061
492	646167.4128
493	645865.5012
494	645421.9483
495	645158.4896
496	644931.8422
497	644541.6365
498	644447.9015
499	644208.5525
500	643886.7512
501	643663.75
502	643508.148
503	643185.4214
504	642609.1811
505	642127.609
506	641729.9898
507	641509.5452
508	641336.9276
509	640711.6838
510	640596.256
511	640379.8845
512	639691.4083
513	639535.3901
514	639489.5896
515	639416.0564
516	638993.7809
517	638350.5702
518	637888.6225
519	637732.3591
520	637118.2459
521	636618.7077
522	636417.4712
523	636131.9311
524	635784.7268
525	635706.2685
526	635608.1028
527	635419.0564
528	635173.8484
529	635066.4773
530	634998.202
531	634459.9377
532	634315.588
533	633862.5503
534	633658.2027
535	633340.8324
536	632708.1918
537	631990.4232
538	631924.8125
539	631488.5478
540	631183.4145
541	630902.3657
542	630740.3532
543	630575.6027
544	630295.5896
545	629682.7597
546	629448.3881
547	629313.1578
548	629079.6467
549	628710.7131
550	628506.8541
551	628284.0183
552	628056.4215
553	627943.5778
554	627741.6594
555	627606.7688
556	627470.2706
557	627320.9558
558	627021.0359
559	626683.4178
560	626477.5277
561	626265.9438
562	625897.9187
563	625714.7876
564	625468.4691
565	625265.8808
566	625112.4272
567	624760.6362
568	624712.9288
569	624458.9768
570	623994.1185
571	623514.6256
572	623353.6239
573	622890.2497
574	622282.865
575	621841.7001
576	621224.9092
577	620860.0657
578	620639.0107
579	620360.6794
580	620295.9258
581	620192.3541
582	619846.2648
583	619633.4603
584	618914.4695
585	618802.1938
586	618614.6487
587	618509.2129
588	618129.6697
589	618036.405
590	617923.0592
591	617831.1393
592	617722.8646
593	617566.7039
594	617453.8405
595	617171.1903
596	616899.912
597	616222.5857
598	615714.2041
599	615260.7858
600	614957.9745
601	614560.2801
602	614016.9152
603	613716.4883
604	613638.0416
605	613484.2323
606	613150.5392
607	612690.8243
608	611999.4127
609	611708.8528
610	611494.1137
611	611151.1545
612	610995.6801
613	610850.0539
614	610646.3736
615	610383.2758
616	610303.075
617	610010.3353
618	609866.6118
619	609766.0678
620	609479.3503
621	609150.2153
622	609006.7316
623	608745.3102
624	608626.3814
625	608372.4566
626	608290.6172
627	607820.3958
628	607727.8911
629	607431.0709
630	607421.0953
631	606972.8922
632	606796.7659
633	606767.9251
634	606510.7253
635	606417.5386
636	606354.8363
637	606097.6211
638	605850.3912
639	605621.8168
640	605235.0298
641	604822.9266
642	604703.8181
643	604515.5108
644	604363.1923
645	604314.1689
646	604003.3282
647	603653.0112
648	603309.4402
649	603063.2124
650	602687.4721
651	602505.0122
652	602278.2115
653	602102.0437
654	601836.576
655	601417.804
656	600900.0458
657	600503.1008
658	600222.496
659	600195.3561
660	600150.3419
661	599915.9298
662	599778.032
663	599557.3888
664	599492.8456
665	599235.3591
666	598907.1208
667	598843.3591
668	598793.6088
669	598657.6905
670	598356.454
671	598176.1642
672	598062.3193
673	597935.8408
674	597863.1284
675	597792.3105
676	597083.2536
677	596329.0236
678	595654.675
679	595586.362
680	595380.6161
681	594821.3713
682	594589.9701
683	594328.2527
684	594008.5125
685	593700.4617
686	593332.7102
687	593111.8865
688	593044.5142
689	592870.7301
690	592746.3483
691	592630.5509
692	592480.6108
693	592354.4422
694	592188.8428
695	591675.8838
696	591637.5231
697	591609.1618
698	591495.8012
699	591460.5021
700	591266.4497
701	591142.5785
702	590591.9102
703	590316.7942
704	589987.5743
705	589660.4098
706	589473.1423
707	589274.495
708	589166.4709
709	589147.6642
710	588559.8286
711	588456.3469
712	588380.9115
713	588363.7255
714	587888.7148
715	587774.706
716	587651.0796
717	587302.1483
718	586738.7209
719	586634.2807
720	586608.5258
721	586511.3335
722	586368.8319
723	586289.4421
724	586020.7033
725	585845.6565
726	585814.5321
727	585719.4811
728	585642.2834
729	585454.5178
730	585442.1762
731	585281.1486
732	585244.9951
733	585079.7045
734	584846.3876
735	584766.2789
736	584738.3785
737	584680.1471
738	584552.3464
739	584365.6241
740	584084.8697
741	584026.7234
742	583916.1279
743	583780.8186
744	583605.6177
745	583467.7024
746	583388.7254
747	583035.677
748	582900.908
749	582832.4484
750	582654.7109
751	582305.1416
752	582198.4204
753	582014.4274
754	581924.7873
755	581719.7543
756	581091.8668
757	580745.3309
758	580683.7171
759	580259.6754
760	580070.5717
761	579788.5013
762	579725.8567
763	579538.3932
764	579183.1917
765	578913.1429
766	578831.8842
767	578535.9915
768	578338.9819
769	578064.7628
770	577853.7284
771	577739.2727
772	577493.6938
773	577356.9148
774	577119.8536
775	576825.9991
776	576686.9695
777	576490.2494
778	576421.1171
779	576205.7583
780	575932.3025
781	575788.6631
782	575662.1251
783	575485.9314
784	575314.1878
785	574957.0063
786	574772.8145
787	574655.3768
788	574543.4593
789	574318.0755
790	574275.7136
791	574038.9495
792	573859.2846
793	573825.5797
794	573639.9266
795	573346.9554
796	573011.7892
797	572987.4418
798	572957.4915
799	572867.9077
800	572687.3232
801	572399.91
802	572160.4314
803	572036.024
804	571741.7574
805	571687.1491
806	571457.1662
807	571111.3913
808	570990.3966
809	570757.2274
810	570620.8452
811	570564.0357
812	570514.2709
813	570412.9855
814	570300.4342
815	570042.4249
816	569774.3003
817	569596.291
818	569419.1754
819	569243.9398
820	569124.1304
821	568994.5833
822	568935.6112
823	568798.2724
824	568698.9722
825	568375.5215
826	568241.9314
827	568154.7529
828	568020.8967
829	567933.2309
830	567753.6852
831	567515.8852
832	567322.0908
833	567212.3756
834	567090.1958
835	567020.2558
836	566738.422
837	566490.1413
838	566359.8753
839	566248.0946
840	566008.8434
841	565939.7326
842	565644.4487
843	565619.4052
844	565472.6591
845	565423.3041
846	565330.3008
847	565194.7323
848	564673.7176
849	564447.4332
850	564330.0675
851	564216.2027
852	563996.5503
853	563926.5457
854	563878.2081
855	563775.9441
856	563641.8874
857	563498.9169
858	563018.8846
859	562982.7319
860	562950.5816
861	562805.7045
862	562761.6231
863	562693.0222
864	562660.7128
865	562404.9073
866	562215.4987
867	561913.7272
868	561728.5358
869	561508.2334
870	561329.2025
871	561071.0084
872	561022.4652
873	560781.3763
874	560703.9017
875	560556.5348
876	560374.9598
877	560305.1994
878	560120.3423
879	559773.5111
880	559689.2263
881	559652.061
882	559397.037
883	559301.0381
884	559258.662
885	559107.5995
886	558808.8368
887	558706.917
888	558599.905
889	558237.8038
890	558055.1674
891	558012.4039
892	557817.0473
893	557685.8766
894	557660.4695
895	557476.8145
896	556672.3235
897	556556.8888
898	556406.6794
899	556176.3948
900	555978.831
901	555957.2234
902	555867.8848
903	555746.2992
904	555618.9993
905	555389.265
906	555383.6154
907	555086.8984
908	554768.1793
909	554586.5112
910	554487.7701
911	553877.2542
912	553773.4128
913	553701.2444
914	553658.4786
915	553402.0326
916	553295.0409
917	553217.571
918	553150.2785
919	553128.8942
920	553022.8051
921	552732.3826
922	552137.4771
923	552035.3276
924	551871.6196
925	551368.7772
926	551251.7102
927	550891.6166
928	550579.3074
929	550429.7768
930	550336.3739
931	550192.5441
932	549764.7341
933	549619.6174
934	549611.719
935	549548.0163
936	549119.38
937	548964.0235
938	548914.2689
939	548439.6611
940	548211.8343
941	548091.2861
942	547730.3738
943	547663.0903
944	547464.5213
945	547358.6112
946	547306.6908
947	547277.5345
948	547054.2121
949	546871.6681
950	546796.4039
951	546776.6109
952	546443.5548
953	546384.9989
954	546293.2735
955	546113.3261
956	545847.7682
957	545691.327
958	545580.7011
959	545495.2325
960	545381.7408
961	545365.2868
962	545252.5862
963	545241.8449
964	545210.7552
965	545169.7592
966	544909.5219
967	544788.6844
968	544421.6687
969	543868.505
970	543669.7302
971	543591.0439
972	543550.87
973	543377.3968
974	543209.209
975	543184.9097
976	542839.5772
977	542563.6015
978	542476.8823
979	542452.3536
980	542346.1022
981	542042.3629
982	541596.5805
983	541434.1478
984	541383.623
985	540895.8772
986	540866.4875
987	540738.7023
988	540634.0628
989	540586.0759
990	540550.4733
991	540488.0443
992	540453.9521
993	540398.5563
994	540201.3636
995	540143.028
996	540090.949
997	539941.9517
998	539904.891
999	539863.6222
